survey_year,cell_unit,from,to,distance_m
2020,C0030_U1,V1,V2,17.691913992902936
2020,C0030_U1,V2,V1,17.691913992902936
2020,C0030_U2,V1,V2,18.14235472471832
2020,C0030_U2,V2,V1,18.14235472471832
2020,C0030_U3,V1,V2,23.968846303271047
2020,C0030_U3,V2,V1,23.968846303271047
2020,C0031_U1,V1,V2,28.489925755446457
2020,C0031_U1,V2,V1,28.489925755446457
2020,C0031_U2,V1,V2,3.9913298618466024
2020,C0031_U2,V2,V1,3.9913298618466024
2020,C0031_U3,V1,V2,13.02322781349593
2020,C0031_U3,V2,V1,13.02322781349593
2020,C0038_U1,V1,V2,6.070318701309829
2020,C0038_U1,V2,V1,6.070318701309829
2020,C0038_U2,V1,V2,2.2329266439048374
2020,C0038_U2,V2,V1,2.2329266439048374
2020,C0038_U3,V1,V2,11.394473652489362
2020,C0038_U3,V2,V1,11.394473652489362
2020,C0039_U1,V1,V2,7.266667390823852
2020,C0039_U1,V2,V1,7.266667390823852
2020,C0039_U2,V1,V2,12.21209299998764
2020,C0039_U2,V2,V1,12.21209299998764
2020,C0039_U3,V1,V2,7.8057246365450155
2020,C0039_U3,V2,V1,7.8057246365450155
2020,C0047_U1,V1,V2,0
2020,C0047_U1,V2,V1,0
2020,C0047_U2,V1,V2,0
2020,C0047_U2,V2,V1,0
2020,C0047_U3,V1,V2,5.001652376961372
2020,C0047_U3,V2,V1,5.001652376961372
2020,C0048_U1,V1,V2,1.0017878717376192
2020,C0048_U1,V2,V1,1.0017878717376192
2020,C0048_U2,V1,V2,14.333942805190656
2020,C0048_U2,V2,V1,14.333942805190656
2020,C0048_U3,V1,V2,8.555355879219467
2020,C0048_U3,V2,V1,8.555355879219467
2020,C0049_U1,V1,V2,24.690478509575158
2020,C0049_U1,V2,V1,24.690478509575158
2020,C0049_U2,V1,V2,2.238378984780491
2020,C0049_U2,V2,V1,2.238378984780491
2020,C0049_U3,V1,V2,0
2020,C0049_U3,V2,V1,0
2020,C0050_U1,V1,V2,21.046984224489986
2020,C0050_U1,V2,V1,21.046984224489986
2020,C0050_U2,V1,V2,13.125891530964514
2020,C0050_U2,V2,V1,13.125891530964514
2020,C0050_U3,V1,V2,3.991356763231918
2020,C0050_U3,V2,V1,3.991356763231918
2020,C0060_U1,V1,V2,11.418806989572772
2020,C0060_U1,V2,V1,11.418806989572772
2020,C0060_U2,V1,V2,4.465884014542445
2020,C0060_U2,V2,V1,4.465884014542445
2020,C0060_U3,V1,V2,0
2020,C0060_U3,V2,V1,0
2020,C0061_U1,V1,V2,4.476490364183895
2020,C0061_U1,V2,V1,4.476490364183895
2020,C0061_U2,V1,V2,9.016122038062663
2020,C0061_U2,V2,V1,9.016122038062663
2020,C0061_U3,V1,V2,3.166769105050171
2020,C0061_U3,V2,V1,3.166769105050171
2020,C0062_U1,V1,V2,10.455436543596223
2020,C0062_U1,V2,V1,10.455436543596223
2020,C0062_U2,V1,V2,9.440127018768614
2020,C0062_U2,V2,V1,9.440127018768614
2020,C0062_U3,V1,V2,1.0017939005070555
2020,C0062_U3,V2,V1,1.0017939005070555
2020,C0063_U1,V1,V2,0
2020,C0063_U1,V2,V1,0
2020,C0063_U2,V1,V2,12.140440777191879
2020,C0063_U2,V2,V1,12.140440777191879
2020,C0063_U3,V1,V2,7.056301473858393
2020,C0063_U3,V2,V1,7.056301473858393
2020,C0064_U1,V1,V2,17.110026708851482
2020,C0064_U1,V2,V1,17.110026708851482
2020,C0064_U2,V1,V2,2.238395453987919
2020,C0064_U2,V2,V1,2.238395453987919
2020,C0064_U3,V1,V2,14.778775876752347
2020,C0064_U3,V2,V1,14.778775876752347
2020,C0065_U1,V1,V2,8.483508298732966
2020,C0065_U1,V2,V1,8.483508298732966
2020,C0065_U2,V1,V2,8.06870416034146
2020,C0065_U2,V2,V1,8.06870416034146
2020,C0065_U3,V1,V2,1.9956917784522372
2020,C0065_U3,V2,V1,1.9956917784522372
2020,C0066_U1,V1,V2,42.04379881810254
2020,C0066_U1,V2,V1,42.04379881810254
2020,C0066_U2,V1,V2,7.215113898834655
2020,C0066_U2,V2,V1,7.215113898834655
2020,C0066_U3,V1,V2,14.777926608831189
2020,C0066_U3,V2,V1,14.777926608831189
2020,C0067_U1,V1,V2,9.423875320563857
2020,C0067_U1,V2,V1,9.423875320563857
2020,C0067_U2,V1,V2,17.02031894015129
2020,C0067_U2,V2,V1,17.02031894015129
2020,C0067_U3,V1,V2,0
2020,C0067_U3,V2,V1,0
2020,C0084_U1,V1,V2,17.6877531425681
2020,C0084_U1,V2,V1,17.6877531425681
2020,C0084_U2,V1,V2,17.485012629099113
2020,C0084_U2,V2,V1,17.485012629099113
2020,C0084_U3,V1,V2,10.028544244053517
2020,C0084_U3,V2,V1,10.028544244053517
2020,C0085_U1,V1,V2,6.333568370293896
2020,C0085_U1,V2,V1,6.333568370293896
2020,C0085_U2,V1,V2,4.996521690946357
2020,C0085_U2,V2,V1,4.996521690946357
2020,C0085_U3,V1,V2,10.28336715911144
2020,C0085_U3,V2,V1,10.28336715911144
2020,C0086_U1,V1,V2,5.824322157182308
2020,C0086_U1,V2,V1,5.824322157182308
2020,C0086_U2,V1,V2,4.241758027386628
2020,C0086_U2,V2,V1,4.241758027386628
2020,C0086_U3,V1,V2,0
2020,C0086_U3,V2,V1,0
2020,C0087_U1,V1,V2,12.979294930407045
2020,C0087_U1,V2,V1,12.979294930407045
2020,C0087_U2,V1,V2,11.019858593123347
2020,C0087_U2,V2,V1,11.019858593123347
2020,C0087_U3,V1,V2,0
2020,C0087_U3,V2,V1,0
2020,C0088_U1,V1,V2,11.685205415476847
2020,C0088_U1,V2,V1,11.685205415476847
2020,C0088_U2,V1,V2,6.070261004331826
2020,C0088_U2,V2,V1,6.070261004331826
2020,C0088_U3,V1,V2,12.389044882518405
2020,C0088_U3,V2,V1,12.389044882518405
2020,C0090_U1,V1,V2,22.24207806665078
2020,C0090_U1,V2,V1,22.24207806665078
2020,C0090_U2,V1,V2,38.21061822309608
2020,C0090_U2,V2,V1,38.21061822309608
2020,C0090_U3,V1,V2,35.05576358405335
2020,C0090_U3,V2,V1,35.05576358405335
2020,C0114_U1,V1,V2,21.250330301174465
2020,C0114_U1,V2,V1,21.250330301174465
2020,C0114_U2,V1,V2,4.129651681789398
2020,C0114_U2,V2,V1,4.129651681789398
2020,C0114_U3,V1,V2,13.577152941845325
2020,C0114_U3,V2,V1,13.577152941845325
2020,C0116_U1,V1,V2,9.221118671113656
2020,C0116_U1,V2,V1,9.221118671113656
2020,C0116_U2,V1,V2,6.405052291152774
2020,C0116_U2,V2,V1,6.405052291152774
2020,C0116_U3,V1,V2,0
2020,C0116_U3,V2,V1,0
2020,C0117_U1,V1,V2,7.070146053912591
2020,C0117_U1,V2,V1,7.070146053912591
2020,C0117_U2,V1,V2,16.175586219853255
2020,C0117_U2,V2,V1,16.175586219853255
2020,C0117_U3,V1,V2,15.250228534676046
2020,C0117_U3,V2,V1,15.250228534676046
2020,C0118_U1,V1,V2,1.4140322386518667
2020,C0118_U1,V2,V1,1.4140322386518667
2020,C0118_U2,V1,V2,24.751170787245563
2020,C0118_U2,V2,V1,24.751170787245563
2020,C0118_U3,V1,V2,7.603935973233096
2020,C0118_U3,V2,V1,7.603935973233096
2020,C0119_U1,V1,V2,14.06099838205509
2020,C0119_U1,V2,V1,14.06099838205509
2020,C0119_U2,V1,V2,16.570899933883485
2020,C0119_U2,V2,V1,16.570899933883485
2020,C0119_U3,V1,V2,9.234476423271653
2020,C0119_U3,V2,V1,9.234476423271653
2020,C0142_U1,V1,V2,11.721199533498032
2020,C0142_U1,V1,V3,9.993631940095145
2020,C0142_U1,V2,V1,11.721199533498032
2020,C0142_U1,V2,V3,17.49403907015287
2020,C0142_U1,V3,V1,9.993631940095145
2020,C0142_U1,V3,V2,17.49403907015287
2020,C0142_U2,V1,V2,19.216452133502756
2020,C0142_U2,V1,V3,2.2384637161752563
2020,C0142_U2,V2,V1,19.216452133502756
2020,C0142_U2,V2,V3,18.383457361242083
2020,C0142_U2,V3,V1,2.2384637161752563
2020,C0142_U2,V3,V2,18.383457361242083
2020,C0142_U3,V1,V2,0
2020,C0142_U3,V1,V3,10.806806122079148
2020,C0142_U3,V2,V1,0
2020,C0142_U3,V2,V3,10.806806122079148
2020,C0142_U3,V3,V1,10.806806122079148
2020,C0142_U3,V3,V2,10.806806122079148
2020,C0157_U1,V1,V2,13.398607379948983
2020,C0157_U1,V2,V1,13.398607379948983
2020,C0157_U2,V1,V2,10.067750411218793
2020,C0157_U2,V2,V1,10.067750411218793
2020,C0157_U3,V1,V2,15.63170990301
2020,C0157_U3,V2,V1,15.63170990301
2020,C0158_U1,V1,V2,4.129566263484129
2020,C0158_U1,V2,V1,4.129566263484129
2020,C0158_U2,V1,V2,20.26094611814454
2020,C0158_U2,V2,V1,20.26094611814454
2020,C0158_U3,V1,V2,12.54097209849827
2020,C0158_U3,V2,V1,12.54097209849827
2020,C0159_U1,V1,V2,11.164953126273133
2020,C0159_U1,V2,V1,11.164953126273133
2020,C0159_U2,V1,V2,6.093110624430275
2020,C0159_U2,V2,V1,6.093110624430275
2020,C0159_U3,V1,V2,5.00180015302116
2020,C0159_U3,V2,V1,5.00180015302116
2020,C0160_U1,V1,V2,59.87976395007882
2020,C0160_U1,V2,V1,59.87976395007882
2020,C0160_U2,V1,V2,3.6023418894842765
2020,C0160_U2,V2,V1,3.6023418894842765
2020,C0160_U3,V1,V2,8.053103059777731
2020,C0160_U3,V2,V1,8.053103059777731
2020,C0185_U1,V1,V2,5.39257654519445
2020,C0185_U1,V1,V3,7.604614965640228
2020,C0185_U1,V2,V1,5.39257654519445
2020,C0185_U1,V2,V3,12.03793114056821
2020,C0185_U1,V3,V1,7.604614965640228
2020,C0185_U1,V3,V2,12.03793114056821
2020,C0185_U2,V1,V2,15.495209883443868
2020,C0185_U2,V1,V3,4.477184907450995
2020,C0185_U2,V2,V1,15.495209883443868
2020,C0185_U2,V2,V3,16.96402326841624
2020,C0185_U2,V3,V1,4.477184907450995
2020,C0185_U2,V3,V2,16.96402326841624
2020,C0185_U3,V1,V2,0
2020,C0185_U3,V1,V3,6.093620900962667
2020,C0185_U3,V2,V1,0
2020,C0185_U3,V2,V3,6.093620900962667
2020,C0185_U3,V3,V1,6.093620900962667
2020,C0185_U3,V3,V2,6.093620900962667
2020,C0202_U1,V1,V2,5.107462084593069
2020,C0202_U1,V2,V1,5.107462084593069
2020,C0202_U2,V1,V2,21.110095444495283
2020,C0202_U2,V2,V1,21.110095444495283
2020,C0202_U3,V1,V2,4.46622194560981
2020,C0202_U3,V2,V1,4.46622194560981
2020,C0203_U1,V1,V2,1.0018224026295963
2020,C0203_U1,V2,V1,1.0018224026295963
2020,C0203_U2,V1,V2,8.595184110577149
2020,C0203_U2,V2,V1,8.595184110577149
2020,C0203_U3,V1,V2,8.076536190870662
2020,C0203_U3,V2,V1,8.076536190870662
2020,C0227_U1,V1,V2,5.00245090611255
2020,C0227_U1,V1,V3,14.409999852171616
2020,C0227_U1,V2,V1,5.00245090611255
2020,C0227_U1,V2,V3,9.834809758131762
2020,C0227_U1,V3,V1,14.409999852171616
2020,C0227_U1,V3,V2,9.834809758131762
2020,C0227_U2,V1,V2,9.501278895262526
2020,C0227_U2,V1,V3,12.346290679232707
2020,C0227_U2,V2,V1,9.501278895262526
2020,C0227_U2,V2,V3,10.806854397973536
2020,C0227_U2,V3,V1,12.346290679232707
2020,C0227_U2,V3,V2,10.806854397973536
2020,C0227_U3,V1,V2,12.980554965231896
2020,C0227_U3,V1,V3,8.953882613249428
2020,C0227_U3,V2,V1,12.980554965231896
2020,C0227_U3,V2,V3,15.27701005777661
2020,C0227_U3,V3,V1,8.953882613249428
2020,C0227_U3,V3,V2,15.27701005777661
2020,C0228_U1,V1,V2,17.081902742126847
2020,C0228_U1,V1,V3,13.02480365979347
2020,C0228_U1,V2,V1,17.081902742126847
2020,C0228_U1,V2,V3,20.230347657013642
2020,C0228_U1,V3,V1,13.02480365979347
2020,C0228_U1,V3,V2,20.230347657013642
2020,C0228_U2,V1,V2,5.835706521781841
2020,C0228_U2,V1,V3,1.0019067746601573
2020,C0228_U2,V2,V1,5.835706521781841
2020,C0228_U2,V2,V3,6.715434963363885
2020,C0228_U2,V3,V1,1.0019067746601573
2020,C0228_U2,V3,V2,6.715434963363885
2020,C0228_U3,V1,V2,8.980985696805696
2020,C0228_U3,V1,V3,4.12993511081934
2020,C0228_U3,V2,V1,8.980985696805696
2020,C0228_U3,V2,V3,10.753314551511183
2020,C0228_U3,V3,V1,4.12993511081934
2020,C0228_U3,V3,V2,10.753314551511183
2020,C0229_U1,V1,V2,3.6022965964936375
2020,C0229_U1,V1,V3,8.596129183868287
2020,C0229_U1,V2,V1,3.6022965964936375
2020,C0229_U1,V2,V3,8.069914762584169
2020,C0229_U1,V3,V1,8.596129183868287
2020,C0229_U1,V3,V2,8.069914762584169
2020,C0229_U2,V1,V2,8.53001188113154
2020,C0229_U2,V1,V3,8.93281880961795
2020,C0229_U2,V2,V1,8.53001188113154
2020,C0229_U2,V2,V3,7.013366189077672
2020,C0229_U2,V3,V1,8.93281880961795
2020,C0229_U2,V3,V2,7.013366189077672
2020,C0229_U3,V1,V2,17.017835475029308
2020,C0229_U3,V1,V3,12.811056625255265
2020,C0229_U3,V2,V1,17.017835475029308
2020,C0229_U3,V2,V3,5.009558229460701
2020,C0229_U3,V3,V1,12.811056625255265
2020,C0229_U3,V3,V2,5.009558229460701
2020,C0230_U1,V1,V2,32.422726271102874
2020,C0230_U1,V2,V1,32.422726271102874
2020,C0230_U2,V1,V2,6.070653713407986
2020,C0230_U2,V2,V1,6.070653713407986
2020,C0230_U3,V1,V2,1.4140297351099747
2020,C0230_U3,V2,V1,1.4140297351099747
2020,C0251_U1,V1,V2,6.3134261491374515
2020,C0251_U1,V2,V1,6.3134261491374515
2020,C0251_U2,V1,V2,16.65399911719922
2020,C0251_U2,V2,V1,16.65399911719922
2020,C0251_U3,V1,V2,7.624853763585082
2020,C0251_U3,V2,V1,7.624853763585082
2020,C0273_U1,V1,V2,13.062947200800927
2020,C0273_U1,V1,V3,17.0614608682383
2020,C0273_U1,V2,V1,13.062947200800927
2020,C0273_U1,V2,V3,30.057030651964528
2020,C0273_U1,V3,V1,17.0614608682383
2020,C0273_U1,V3,V2,30.057030651964528
2020,C0273_U2,V1,V2,2.2385857671896106
2020,C0273_U2,V1,V3,41.30038676732445
